study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 33-34,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.33,0.34,1.59,0.11,NA,1.18,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 34-35,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.34,0.35,1.82,0.1,NA,0.96,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 35-36,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.35,0.36,1.48,0.1,NA,1.04,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 36-37,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.36,0.37,1.57,0.11,NA,1.04,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 37-38,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.37,0.38,1.53,0.11,NA,1.12,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 38-39,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.38,0.39,1.5,0.11,NA,1.06,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 39-40,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.39,0.4,1.36,0.1,NA,1.11,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 40-41,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.4,0.41,1.21,0.1,NA,1.14,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 41-42,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.41,0.42,1.24,0.1,NA,1.06,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 42-43,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.42,0.43,1.28,0.1,NA,1.35,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 43-44,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.43,0.44,1.57,0.11,NA,0.99,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 44-45,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.44,0.45,1.86,0.12,NA,1.12,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 45-46,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.45,0.46,2.06,0.12,NA,0.93,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 46-47,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.46,0.47,2.26,0.13,NA,1,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 47-48,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.47,0.48,2.14,0.12,NA,1,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 48-49,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.48,0.49,2.02,0.12,NA,0.9,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 49-50,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.49,0.5,2.09,0.12,NA,0.85,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 50-51,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.5,0.51,2.23,0.13,NA,1.01,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 51-52,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.51,0.52,2.23,0.13,NA,1.28,
