LON,LAT,REGION,ENVSETT,SITE,CORE,DEPTH,subsmple_up_depth_cm,subsmple_lw_depth_cm,core_up_depth_cm,core_lw_depth_cm,core_depth_interval_cm,N_pcent,C_pcent,BD_gcc,,,,,
-88.788167,13.256417,N13,LG,ES2,2,2,20,25,15,30,15,#REF!,#REF!,0.270,,,,,
-88.788167,13.256417,N13,LG,ES2,2,3,37.5,42.5,30,50,20,#REF!,#REF!,0.277,,,,,
-88.788167,13.256417,N13,LG,ES2,2,4,72.5,77.5,50,100,50,#REF!,#REF!,0.275,,,,,
-88.788167,13.256417,N13,LG,ES2,3,1,5,10,0,15,15,#REF!,#REF!,0.257,,,,,
-88.788167,13.256417,N13,LG,ES2,3,2,20,25,15,30,15,#REF!,#REF!,0.307,,,,,
-88.788167,13.256417,N13,LG,ES2,3,3,37.5,42.5,30,50,20,#REF!,#REF!,0.585,,,,,
-88.788167,13.256417,N13,LG,ES2,3,4,72.5,77.5,50,100,50,#REF!,#REF!,0.636,,,,,
-88.460333,13.219111,N13,LG,ES3,1,1,5,10,0,15,15,#REF!,#REF!,0.160,,,,,
-88.460333,13.219111,N13,LG,ES3,1,2,20,25,15,30,15,#REF!,#REF!,0.171,,,,,
-88.460333,13.219111,N13,LG,ES3,1,3,37.5,42.5,30,50,20,#REF!,#REF!,0.127,,,,,
-88.460333,13.219111,N13,LG,ES3,1,4,72.5,77.5,50,100,50,#REF!,#REF!,0.178,,,,,
-88.460333,13.219111,N13,LG,ES3,2,1,5,10,0,15,15,#REF!,#REF!,0.123,,,,,
-88.460333,13.219111,N13,LG,ES3,2,2,20,25,15,30,15,#REF!,#REF!,0.113,,,,,
-88.460333,13.219111,N13,LG,ES3,2,3,37.5,42.5,30,50,20,#REF!,#REF!,0.165,,,,,
-88.460333,13.219111,N13,LG,ES3,2,4,72.5,77.5,50,100,50,#REF!,#REF!,0.172,,,,,
-88.460333,13.219111,N13,LG,ES3,3,1,5,10,0,15,15,#REF!,#REF!,0.104,,,,,
-88.460333,13.219111,N13,LG,ES3,3,2,20,25,15,30,15,#REF!,#REF!,0.147,,,,,
-88.460333,13.219111,N13,LG,ES3,3,3,37.5,42.5,30,50,20,#REF!,#REF!,0.200,,,,,
-88.460333,13.219111,N13,LG,ES3,3,4,72.5,77.5,50,100,50,#REF!,#REF!,0.184,,,,,
-82.150279,26.47816,N25,ET1,SB1,1,1,5,10,0,15,15,1.861,33.289,0.196,,,,,
-82.150279,26.47816,N25,ET1,SB1,1,2,20,25,15,30,15,1.679,31.000,0.150,,,,,
-82.150279,26.47816,N25,ET1,SB1,1,3,37.5,42.5,30,50,20,1.533,30.643,0.203,,,,,
-82.150279,26.47816,N25,ET1,SB1,1,4,72.5,77.5,50,100,50,0.505,13.789,0.510,,,,,
-82.150279,26.47816,N25,ET1,SB1,2,1,5,10,0,15,15,1.775,36.068,0.234,,,,,
-82.150279,26.47816,N25,ET1,SB1,2,2,20,25,15,30,15,1.394,31.321,0.189,,,,,
-82.150279,26.47816,N25,ET1,SB1,2,3,37.5,42.5,30,50,20,1.010,25.394,0.249,,,,,
-82.150279,26.47816,N25,ET1,SB1,2,4,72.5,77.5,50,100,50,0.609,20.846,0.381,,,,,
-82.150279,26.47816,N25,ET1,SB1,3,1,5,10,0,15,15,1.261,35.227,0.165,,,,,
-82.150279,26.47816,N25,ET1,SB1,3,2,20,25,15,30,15,1.430,28.321,0.134,,,,,
-82.150279,26.47816,N25,ET1,SB1,3,3,37.5,42.5,30,50,20,0.701,13.925,0.508,,,,,
-82.150279,26.47816,N25,ET1,SB1,3,4,72.5,77.5,50,100,50,0.174,3.972,0.942,,,,,
-81.734164,26.020741,N25,ET1,RB12,1,1,5,10,0,15,15,1.562,30.813,0.211,,,,,
-81.734164,26.020741,N25,ET1,RB12,1,2,20,25,15,30,15,1.447,25.331,0.207,,,,,
-81.734164,26.020741,N25,ET1,RB12,1,3,37.5,42.5,30,50,20,1.209,25.219,0.195,,,,,
-81.734164,26.020741,N25,ET1,RB12,1,4,72.5,77.5,50,100,50,0.652,13.488,0.331,,,,,
-81.734164,26.020741,N25,ET1,RB12,2,1,5,10,0,15,15,1.721,30.050,0.209,,,,,
-81.734164,26.020741,N25,ET1,RB12,2,2,20,25,15,30,15,1.434,26.782,0.195,,,,,
-81.734164,26.020741,N25,ET1,RB12,2,3,37.5,42.5,30,50,20,1.133,23.420,0.257,,,,,
-81.734164,26.020741,N25,ET1,RB12,2,4,72.5,77.5,50,100,50,1.815,32.552,0.336,,,,,
-81.734164,26.020741,N25,ET1,RB12,3,1,5,10,0,15,15,1.814,33.110,0.278,,,,,
-81.734164,26.020741,N25,ET1,RB12,3,2,20,25,15,30,15,0.822,16.872,0.397,,,,,
-81.734164,26.020741,N25,ET1,RB12,3,3,37.5,42.5,30,50,20,0.373,6.919,0.715,,,,,
-81.734164,26.020741,N25,ET1,RB12,3,4,72.5,77.5,50,100,50,0.282,5.491,0.762,,,,,
-81.652519,25.927605,N25,ET1,RB23,1,1,5,10,0,15,15,1.433,29.756,0.195,,,,,
-81.652519,25.927605,N25,ET1,RB23,1,2,20,25,15,30,15,1.235,29.598,0.217,,,,,
