study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.44,0.45,0.66,0.03,2.9,1.24,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.45,0.46,0.75,0.03,2.69,0.63,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.46,0.47,0.67,0.04,3.51,1.17,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.47,0.48,0.55,0.03,3.5,1.23,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.48,0.49,0.65,0.03,2.49,1.35,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.49,0.5,0.55,0.03,3.5,1.85,
,,,,,,marsh,,,,,,,,,,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0,0.01,14.99,1.72,17.07,0.29,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.01,0.02,12.91,1.01,15.83,0.23,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.02,0.03,14.73,0.75,15.8,0.21,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.03,0.04,14.58,0.74,18.08,0.26,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.04,0.05,13.7,0.66,16.21,0.4,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.05,0.06,12.4,0.63,18.32,0.36,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.06,0.07,13.2,0.62,15.04,0.19,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.07,0.08,11.88,0.6,15.77,0.24,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.08,0.09,12.44,0.59,16.6,0.37,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.09,0.1,12.89,0.54,15.4,0.3,
