Source,Site_name,Site,Latitude,Longitude,Core_id,Year_collected,U_depth_m,L_depth_m,U_depth_cm,L_depth_cm,Soil moisture content (%),BD_reported_g_cm3,OC_perc,N_perc,Method,Soil loss-on-ignition (mg·g−1),Total soil organic carbon (mg·g−1),Total soil nitrogen (mg·g−1),Refractory soil organic carbon (mg·g−1),Refractory soil nitrogen (mg·g−1),Habitat_type,,,,,,
McClellan_et_al_2021,W16-2-00,W16,29.501111,-91.480833,2,2016,0,0.05,0,5,36,1.015,0.93,0.066,EA,36.8,9.3,0.66,4.1,0.12,Marsh,,,,,,
McClellan_et_al_2021,W16-2-05,W16,29.501111,-91.480833,2,2016,0.05,0.1,5,10,32,1.119,0.84,0.054,EA,32.2,8.4,0.54,2.9,0.09,Marsh,,,,,,
McClellan_et_al_2021,W16-2-10,W16,29.501111,-91.480833,2,2016,0.1,0.15,10,15,32,1.13,0.8,0.057,EA,37.1,8,0.57,5.3,0.15,Marsh,,,,,,
McClellan_et_al_2021,W16-2-15,W16,29.501111,-91.480833,2,2016,0.15,0.2,15,20,33,1.15,1.16,0.068,EA,36,11.6,0.68,3.8,0.12,Marsh,,,,,,
McClellan_et_al_2021,W16-2-20,W16,29.501111,-91.480833,2,2016,0.2,0.25,20,25,25,1.391,0.65,0.041,EA,25.5,6.5,0.41,2.5,0.08,Marsh,,,,,,
McClellan_et_al_2021,W16-2-25,W16,29.501111,-91.480833,2,2016,0.25,0.3,25,30,26,1.346,0.7,0.044,EA,27.4,7,0.44,3.6,0.11,Marsh,,,,,,
McClellan_et_al_2021,W16-3-00,W16,29.501111,-91.480833,3,2016,0,0.05,0,5,29,1.321,0.66,0.039,EA,26.5,6.6,0.39,3.8,0.12,Marsh,,,,,,
McClellan_et_al_2021,W16-3-05,W16,29.501111,-91.480833,3,2016,0.05,0.1,5,10,29,1.28,0.73,0.041,EA,30,7.3,0.41,4.2,0.13,Marsh,,,,,,
McClellan_et_al_2021,W16-3-10,W16,29.501111,-91.480833,3,2016,0.1,0.15,10,15,27,1.332,0.55,0.036,EA,25.9,5.5,0.36,4,0.13,Marsh,,,,,,
McClellan_et_al_2021,W16-3-15,W16,29.501111,-91.480833,3,2016,0.15,0.2,15,20,30,1.261,0.77,0.046,EA,28.2,7.7,0.46,3.3,0.11,Marsh,,,,,,
McClellan_et_al_2021,W16-3-20,W16,29.501111,-91.480833,3,2016,0.2,0.25,20,25,23,1.503,0.52,0.028,EA,20.6,5.2,0.28,2.9,0.09,Marsh,,,,,,
McClellan_et_al_2021,W16-3-25,W16,29.501111,-91.480833,3,2016,0.25,0.3,25,30,25,1.455,0.65,0.039,EA,23.3,6.5,0.39,5.3,0.15,Marsh,,,,,,
McClellan_et_al_2021,W29-1-00,W29,29.501111,-91.480833,1,2016,0,0.05,0,5,60,0.499,3.63,0.265,EA,120.3,36.3,2.65,19.4,0.48,Marsh,,,,,,
McClellan_et_al_2021,W29-1-05,W29,29.501111,-91.480833,1,2016,0.05,0.1,5,10,62,0.488,4.64,0.328,EA,126.1,46.4,3.28,24.7,0.64,Marsh,,,,,,
McClellan_et_al_2021,W29-1-10,W29,29.501111,-91.480833,1,2016,0.1,0.15,10,15,54,0.639,3.1,0.231,EA,96,31,2.31,16,0.47,Marsh,,,,,,
McClellan_et_al_2021,W29-1-15,W29,29.501111,-91.480833,1,2016,0.15,0.2,15,20,55,0.597,2.78,0.205,EA,86.4,27.8,2.05,13,0.37,Marsh,,,,,,
McClellan_et_al_2021,W29-1-20,W29,29.501111,-91.480833,1,2016,0.2,0.25,20,25,53,0.61,2.73,0.188,EA,80.6,27.3,1.88,13.8,0.38,Marsh,,,,,,
McClellan_et_al_2021,W29-1-25,W29,29.501111,-91.480833,1,2016,0.25,0.3,25,30,54,1.487,2.79,0.193,EA,85.3,27.9,1.93,14.4,0.37,Marsh,,,,,,
