"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"13","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.2,0.19,24.10890994,1.259557346,0.192286758,"in_submission"
"14","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.18,0.17,26.89673244,1.292593761,0.194463998,"in_submission"
"15","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.24,0.23,27.61975062,1.30111629,0.197061406,"in_submission"
"16","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.34,0.33,23.33663895,1.091268243,0.197303322,"in_submission"
"17","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.52,0.51,27.26141568,0.833051554,0.201517745,"in_submission"
"18","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.32,0.31,24.85039883,1.14360391,0.209259041,"in_submission"
"19","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.3,0.29,27.34308563,1.19528246,0.209602816,"in_submission"
"20","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.28,0.27,24.1367004,1.164545231,0.214008225,"in_submission"
"21","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.38,0.37,22.21716847,0.940940423,0.214874028,"in_submission"
"22","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.26,0.25,28.98933739,1.309697836,0.238428959,"in_submission"
"23","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.48,0.47,22.68382,0.944226375,0.239294762,"in_submission"
"24","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.5,0.49,22.95909293,0.95516291,0.240657128,"in_submission"
"25","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.56,0.55,17.39621519,0.474017583,0.247761805,"in_submission"
"26","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.41,0.4,4.259078967,0.239743595,0.253873355,"in_submission"
"27","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.4,0.39,18.67276104,0.915870616,0.258902651,"in_submission"
"28","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.6,0.59,12.20326598,0.523350296,0.297367218,"in_submission"
"29","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.54,0.53,19.29767751,0.640912464,0.311130937,"in_submission"
"30","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.02,0.01,10.38272599,0.491464059,0.325021981,"in_submission"
"31","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.44,0.43,18.70872487,0.677813901,0.330560573,"in_submission"
"32","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.02,0.01,11.73968264,0.688923799,0.332292178,"in_submission"
"33","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.31,0.3,3.647059383,0.264274166,0.336162827,"in_submission"
"34","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.42,0.41,19.66010137,0.643379575,0.339027616,"in_submission"
"35","jupin_et_al_unpublished","EV","EVC02","Mangrove",2021,23.438944,-106.573861,0.01,0,8.903763151,0.390334222,0.339357385,"in_submission"
"36","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.57,0.56,4.118075293,0.300585899,0.3555288,"in_submission"
"37","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.54,0.53,3.883068611,0.250395132,0.358228068,"in_submission"
"38","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.62,0.61,13.97654831,0.433222105,0.359845082,"in_submission"
"39","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.44,0.43,3.892354664,0.216829803,0.38019145,"in_submission"
"40","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.39,0.38,3.484123909,0.231196447,0.381630211,"in_submission"
"41","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.04,0.03,8.138502143,0.563083229,0.386481253,"in_submission"
"42","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.71,0.7,2.625973886,0.180530882,0.389218718,"in_submission"
"43","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.04,0.03,8.997812576,0.515730424,0.395011958,"in_submission"
"44","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.64,0.63,4.020518779,0.206253118,0.411640467,"in_submission"
"45","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.05,0.04,9.471685911,0.463301017,0.415472918,"in_submission"
"46","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.49,0.48,3.059312079,0.258204764,0.416198664,"in_submission"
"47","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.52,0.51,3.658245968,0.311244139,0.42042582,"in_submission"
"48","jupin_et_al_unpublished","CP","LTMCA02","Mangrove",2021,18.640306,-91.272361,0.58,0.57,23.60785809,0.385979578,0.422615792,"in_submission"
"49","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.19,0.18,3.951659786,0.261916911,0.433680243,"in_submission"
"50","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.14,0.13,4.850914339,0.409711368,0.433909427,"in_submission"
"51","jupin_et_al_unpublished","CP","LTMCA01","Mangrove",2021,18.619833,-91.267861,0.02,0.01,7.581631302,0.523898065,0.435017145,"in_submission"
"52","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.46,0.45,3.318327538,0.230036542,0.439982779,"in_submission"
"53","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.51,0.5,2.092519399,0.122028207,0.440046441,"in_submission"
"54","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.61,0.6,3.716935325,0.219658045,0.442261878,"in_submission"
"55","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.12,0.11,4.676793701,0.265396618,0.442885765,"in_submission"
"56","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.29,0.28,4.105174406,0.265421031,0.447227512,"in_submission"
"57","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.6,0.59,5.258823257,0.202898338,0.447329371,"in_submission"
"58","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.05,0.04,8.402009117,0.472464181,0.452587851,"in_submission"
"59","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.13,0.12,7.750234136,0.343197447,0.458826724,"in_submission"
"60","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.53,0.52,2.026606279,0.119267006,0.460851175,"in_submission"
"61","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.1,0.09,6.134058431,0.492312099,0.461271344,"in_submission"
"62","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.2,0.19,4.556799841,0.415801041,0.46762481,"in_submission"
"63","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.62,0.61,5.006569745,0.190559354,0.468388753,"in_submission"
"64","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.09,0.08,7.398577003,0.535824807,0.473290726,"in_submission"
"65","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.12,0.11,5.454835526,0.464868528,0.473965543,"in_submission"
"66","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.06,0.05,8.701251486,0.479507632,0.479707853,"in_submission"
"67","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.17,0.16,4.671631939,0.29478955,0.483081938,"in_submission"
"68","jupin_et_al_unpublished","CP","LTMCA01","Mangrove",2021,18.619833,-91.267861,0.01,0,14.32375056,0.522194837,0.48399867,"in_submission"
"69","jupin_et_al_unpublished","CP","LTMCA03","Mangrove",2021,18.627417,-91.279389,0.25,0.24,3.709506116,0.296020032,0.484024135,"in_submission"
"70","jupin_et_al_unpublished","CP","LTMCA01","Mangrove",2021,18.619833,-91.267861,0.16,0.15,2.377021821,0.23043351,0.486634276,"in_submission"
