"","Database","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"95","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.24,0.25,5.242477417,0.537195027,0.57639315,"https://doi.org/10.1038/s41558-018-0162-5"
"96","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.29,0.3,3.621870995,0.388713598,0.656313449,"https://doi.org/10.1038/s41558-018-0162-5"
"97","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.34,0.35,5.10970211,0.503093302,0.476493689,"https://doi.org/10.1038/s41558-018-0162-5"
"98","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.39,0.4,7.937234402,0.697759986,0.361344122,"https://doi.org/10.1038/s41558-018-0162-5"
"99","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.44,0.45,10.1538105,0.920762777,0.349249966,"https://doi.org/10.1038/s41558-018-0162-5"
"100","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.49,0.5,9.246070862,0.786421955,0.403854479,"https://doi.org/10.1038/s41558-018-0162-5"
"101","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.54,0.56,4.284705162,0.343384266,0.625793755,"https://doi.org/10.1038/s41558-018-0162-5"
"102","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.6,0.62,4.208771229,0.365468532,0.723784669,"https://doi.org/10.1038/s41558-018-0162-5"
"103","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.66,0.68,10.44430542,0.867366016,0.31665857,"https://doi.org/10.1038/s41558-018-0162-5"
"104","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.72,0.74,9.924604416,0.918051004,0.301363414,"https://doi.org/10.1038/s41558-018-0162-5"
"105","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.78,0.8,9.838651657,0.909558773,0.309268509,"https://doi.org/10.1038/s41558-018-0162-5"
